scenario_code,trial,status_code,baseline_status_code,execution_path,ordinary_provider_runtime_reorganization_wired,e2e_summary_status,input_sha256,snapshot_sha256,ledger_sha256,pointer_before,pointer_after,ledger_record_count,retained_record_count,approximate_record_count,released_record_count,non_summary_released_record_count,required_record_count,failure_codes
UPD-05,2,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,56978e67d666c4f2430cf0c19b71120a3f42fbac54cae5c5e3ccd7e4ec36de65,11bb165b2d7ad284044decafbc0d1da7598d5b0de2a8d1726bb69c14bc8b0b5f,b2f084d293a68057160342217eed4d089e5ec952c1d6529149e40f490fde6ca8,1,2,8,6,0,2,0,4,
UPD-05,3,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,56978e67d666c4f2430cf0c19b71120a3f42fbac54cae5c5e3ccd7e4ec36de65,127b1705477bd6cd8f18631ceb7437094ab5ed74c04b7e087dffd4fad128a6c3,8ec6a01c914aa0dc98af9cef9edde60a697e7af2b6d735657426280f354d987c,1,2,8,6,0,2,0,4,
UPD-06,1,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,21c26b163cc544adb6f5c33666218ca379e045fd2ca6b931e94c8dc5cd312aba,1bf838aeabba880fc1c6e76b8e3f879ae71ebb38aeab4b08d9a2b89452f35e2a,063fe3db1c3d5c8eb067b48dd66121a2349e28be0312614d4a17c68fffbb5d72,1,2,8,6,0,2,0,4,
UPD-06,2,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,21c26b163cc544adb6f5c33666218ca379e045fd2ca6b931e94c8dc5cd312aba,704623d6455e35f861cb2fda023eee42b9643368b7ec6cf303e9419574c7d485,2e2de18e01ec91af027bbdb4231fef4bfcb73fc5909809eb355d28e77230414c,1,2,8,6,0,2,0,4,
UPD-06,3,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,21c26b163cc544adb6f5c33666218ca379e045fd2ca6b931e94c8dc5cd312aba,cbf1db9b49a31a5c14c755438ad0035d9e53e77b78454ecc0c23aa8c2a6d7808,779b9cd9d5a4252445f31fe70bf428371fc832df4a5f711cb8be091f140c7593,1,2,8,6,0,2,0,4,
UPD-07,1,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,08772059fa4c99944fb59fbd768201418cd4bb0cec7ebdd36737305e341d9934,837933717989e1df2cca89d9d75dfca1f5a4ed84c71cefa77133de3830022391,4b7daa434657edc14d5486d23e140f4486c8f781ee1501a6930f3884aaf86c56,1,2,8,6,0,2,0,4,
UPD-07,2,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,08772059fa4c99944fb59fbd768201418cd4bb0cec7ebdd36737305e341d9934,da4c4b52f83694b34d71b1d46f9d4b9df55e1c210ba9507a297ab993e8ffa46b,64199e1e22e5cc2d3b320846a99efb5aaf34df1af6c18a7c4e77af0ce89ca166,1,2,8,6,0,2,0,4,
UPD-07,3,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,08772059fa4c99944fb59fbd768201418cd4bb0cec7ebdd36737305e341d9934,869ca2155adfd9b1c76140c21e34797eb74cf224e9ffa915c9ae4c9a22d7a531,cae4b22469cae9642a241c4478431df9621497c334cc8914b0565220af7de7e2,1,2,8,6,0,2,0,4,
UPD-08,1,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,ccc5c264f36a60bcf55582116d61e81ae98db2178e5fc7b0e7eb057ccf29b3ed,5a4e9b57de4f3295c52988550f05bdebfe01c04e08463e175225728d58030bd7,bc64035a2ec8c66509c9a9d96fc35621c1e24b7d604b354fc193c8fb9d042aee,1,2,8,6,0,2,0,4,
UPD-08,2,COMMITTED,COMMITTED,opt_in_fenced_compaction_worker,False,BLOCKED,ccc5c264f36a60bcf55582116d61e81ae98db2178e5fc7b0e7eb057ccf29b3ed,5ad0bc9d61fb88ee252ba26292efcfa52909fb31cfa34ca165acb3a35d2fd7d8,194b5fb32667899f4c13200a2f7b255d7aff0d8b5aa16b1af6d60e79d5710c32,1,2,8,6,0,2,0,4,
